year,character,index,region,security,avg.price,name,size,address,supply,people,rate,rank,sum,value,d.sub,d.hos,cut
2021 2차,청년매입,신규공급,구로구,56.28,3594,모던하우스 [33A],33,"개봉로15길 36-25, 개봉동 332-32,4",2,20,10,2순위,3,205200,730,550,13
2021 2차,청년매입,신규공급,구로구,56.28,3594,모던하우스 [33A],33,"개봉로15길 36-25, 개봉동 332-32,4",2,20,10,2순위,3,205200,730,550,13
2021 2차,청년매입,신규공급,구로구,56.28,3594,모던하우스 [33A],33,"개봉로15길 36-25, 개봉동 332-32,4",2,20,10,2순위,3,205200,730,550,13
2021 2차,청년매입,신규공급,금천구,52.17,2917,청춘가옥,26,"독산로50길 130-9, 시흥동 3-123",20,74,3.7,2순위,3,181100,1500,1000,13
2021 2차,청년매입,신규공급,금천구,52.17,2917,청춘가옥,26,"독산로50길 130-9, 시흥동 3-123",20,74,3.7,2순위,3,181100,1500,1000,13
2021 2차,청년매입,신규공급,금천구,52.17,2917,청춘가옥,26,"독산로50길 130-9, 시흥동 3-123",20,74,3.7,2순위,3,181100,1500,1000,13
2021 2차,청년매입,신규공급,강북구,51.71,3158,홍원하이빌강북7 [21B],21,"삼양로119길 22, 수유동 313-6",13,57,4.4,2순위,2,142100,290,600,12
2021 2차,청년매입,신규공급,강북구,51.71,3158,홍원하이빌강북6,25,"인수봉로82길 26, 수유동 291-59",22,69,3.1,2순위,2,152800,300,500,12
2021 2차,청년매입,신규공급,강북구,51.71,3158,홍원하이빌강북7 [21B],21,"삼양로119길 22, 수유동 313-6",13,57,4.4,2순위,2,142100,290,600,12
2021 2차,청년매입,신규공급,강북구,51.71,3158,홍원하이빌강북6,25,"인수봉로82길 26, 수유동 291-59",22,69,3.1,2순위,2,152800,300,500,12
2021 2차,청년매입,신규공급,강북구,51.71,3158,홍원하이빌강북7 [21B],21,"삼양로119길 22, 수유동 313-6",13,57,4.4,2순위,2,142100,290,600,12
2021 2차,청년매입,신규공급,강북구,51.71,3158,홍원하이빌강북6,25,"인수봉로82길 26, 수유동 291-59",22,69,3.1,2순위,2,152800,300,500,12
2021 2차,청년매입,신규공급,구로구,56.28,3594,모던하우스 [28B],28,"개봉로15길 36-25, 개봉동 332-32,4",16,75,4.7,2순위,2,175200,730,550,12
2021 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채3차 [27B],27,"고척로33나길 4, 고척동 253-40,56",4,18,4.5,2순위,2,204500,730,990,12
2021 2차,청년매입,신규공급,구로구,56.28,3594,명진하이빌 [20B],20,"부일로17길 44, 궁동 190-84,85",7,20,2.9,2순위,2,113100,800,770,12
2021 2차,청년매입,신규공급,구로구,56.28,3594,명진하이빌 [29B],29,"부일로17길 44, 궁동 190-84,85",2,10,5,2순위,2,173100,800,770,12
2021 2차,청년매입,신규공급,구로구,56.28,3594,모던하우스 [28B],28,"개봉로15길 36-25, 개봉동 332-32,4",16,75,4.7,2순위,2,175200,730,550,12
2021 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채3차 [27B],27,"고척로33나길 4, 고척동 253-40,56",4,18,4.5,2순위,2,204500,730,990,12
2021 2차,청년매입,신규공급,구로구,56.28,3594,명진하이빌 [20B],20,"부일로17길 44, 궁동 190-84,85",7,20,2.9,2순위,2,113100,800,770,12
2021 2차,청년매입,신규공급,구로구,56.28,3594,명진하이빌 [29B],29,"부일로17길 44, 궁동 190-84,85",2,10,5,2순위,2,173100,800,770,12
2021 2차,청년매입,신규공급,구로구,56.28,3594,모던하우스 [28B],28,"개봉로15길 36-25, 개봉동 332-32,4",16,75,4.7,2순위,2,175200,730,550,12
2021 2차,청년매입,신규공급,구로구,56.28,3594,하늘사랑채3차 [27B],27,"고척로33나길 4, 고척동 253-40,56",4,18,4.5,2순위,2,204500,730,990,12
2021 2차,청년매입,신규공급,구로구,56.28,3594,명진하이빌 [20B],20,"부일로17길 44, 궁동 190-84,85",7,20,2.9,2순위,2,113100,800,770,12
2021 2차,청년매입,신규공급,구로구,56.28,3594,명진하이빌 [29B],29,"부일로17길 44, 궁동 190-84,85",2,10,5,2순위,2,173100,800,770,12
2021 2차,청년매입,신규공급,양천구,57.32,4963,에코리움빌 [22B],22,"남부순환로56가길 14, 신월동 197-8",11,40,3.6,2순위,2,126900,1500,460,12
2021 2차,청년매입,신규공급,양천구,57.32,4963,에코리움빌 [27B],27,"남부순환로60길 12-10, 신월동 197-11외",2,9,4.5,2순위,2,186900,1500,460,12
2021 2차,청년매입,신규공급,양천구,57.32,4963,에코리움빌 [22B],22,"남부순환로56가길 14, 신월동 197-8",11,40,3.6,2순위,2,126900,1500,460,12
2021 2차,청년매입,신규공급,양천구,57.32,4963,에코리움빌 [27B],27,"남부순환로60길 12-10, 신월동 197-11외",2,9,4.5,2순위,2,186900,1500,460,12
2021 2차,청년매입,신규공급,양천구,57.32,4963,에코리움빌 [22B],22,"남부순환로56가길 14, 신월동 197-8",11,40,3.6,2순위,2,126900,1500,460,12
2021 2차,청년매입,신규공급,양천구,57.32,4963,에코리움빌 [27B],27,"남부순환로60길 12-10, 신월동 197-11외",2,9,4.5,2순위,2,186900,1500,460,12
